DHID,Drill_Type,x,y,z
DH_171,RC,776.8410000000149,449.91399999987334,7.427999999999997
DH_172,RC,654.9569999999949,549.9670000001788,6.470000000000027
DH_173,RC,659.3670000000275,444.7970000002533,6.104000000000042
DH_174,RC,289.4890000000014,449.93800000008196,6.221000000000004
DH_175,RC,554.4710000000196,550.0140000004321,6.979000000000042
DH_176,RC,244.6700000000419,450.0259999996051,6.6650000000000205
DH_177,RC,449.7390000000014,450.0109999999404,5.759999999999991
DH_178,RC,457.7260000000242,550.0250000003725,6.682000000000016
DH_179,RC,818.2300000000396,450.0149999996647,7.5160000000000196
DH_180,RC,189.3530000000028,449.93800000008196,5.146000000000015
DH_181,RC,299.57400000002235,550.0820000004023,7.774000000000001
DH_182,RC,875.9280000000144,349.99600000027567,6.930000000000007
DH_183,RC,344.2490000000107,449.96999999973923,5.390000000000043
DH_184,RC,899.3260000000009,249.73599999956787,6.504000000000019
DH_185,RC,949.4440000000177,249.97200000006706,6.439000000000021
DH_186,RC,999.6220000000321,150.03100000042468,5.706999999999994
DH_187,RC,769.6610000000219,350.1279999995604,6.150000000000034
DH_188,RC,904.3640000000014,150.01999999955297,5.067000000000007
DH_189,RC,999.554999999993,250.0329999998212,6.944000000000017
DH_190,RC,849.5500000000466,250.07799999974668,6.170000000000016
DH_191,RC,669.8850000000093,349.97200000006706,5.8629999999999995
DH_192,RC,815.4210000000312,150.10900000017136,4.944999999999993
DH_193,RC,795.2980000000098,250.00999999977648,5.5680000000000405
DH_194,RC,569.6390000000247,349.89499999955297,4.788000000000011
DH_195,RC,717.0530000000144,150.01400000043213,4.052999999999997
DH_196,RC,685.1780000000144,249.98000000044703,5.369000000000028
DH_197,RC,475.844000000041,350.04299999959767,5.104000000000042
DH_198,RC,579.3420000000042,249.68900000024587,3.847000000000037
DH_199,RC,609.3369999999995,149.99500000011176,3.6410000000000196
DH_200,RC,449.4770000000135,250.08200000040233,3.0120000000000005
DH_201,RC,499.7300000000396,149.91500000003725,2.4259999999999877
DH_202,RC,399.73200000001816,250.06199999991804,2.891999999999996
DH_203,RC,380.8150000000023,349.9769999999553,4.119000000000028
DH_204,RC,398.7980000000098,153.8420000001788,2.05600000000004
DH_205,RC,329.89199999999255,349.9879999998957,3.920000000000016
DH_206,RC,1094.341000000015,50.21499999985099,5.472000000000037
DH_207,RC,1044.3470000000088,50.08499999996275,4.5190000000000055
DH_208,RC,279.52700000000186,350.01599999982864,4.30600000000004
DH_209,RC,937.9470000000438,49.47499999962747,3.9209999999999923
DH_210,RC,844.3099999999977,49.877000000327826,4.258000000000038
DH_211,RC,743.6770000000251,49.985000000335276,3.141999999999996
DH_212,RC,637.3770000000368,49.84300000034273,2.8840000000000146
DH_213,RC,579.3539999999921,50.088000000454485,2.8350000000000364
DH_214,RC,699.6840000000084,1399.783999999985,17.723000000000013
DH_215,RC,699.494000000006,1299.9199999999255,15.932000000000016
DH_216,RC,799.7989999999991,1399.9979999996722,17.668000000000006
DH_217,RC,669.4260000000359,1100.1090000001714,13.420999999999992
DH_218,RC,799.5610000000452,1299.9680000003427,17.122000000000014
