Easting,Northing,Elevation,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
477.0505589,6952.06569,0.5,998,0.7,22.4,1.2,20,80.7,0.3,0.25,0.02,0.21,14.3,2.9,11.7,2.55,38.87,2.42,1.9,0.1,0.02,217,0.03,0.06,7.4,5.1,0.09,40,12.65,0.002,0.07,18.1,0.082,19.77,10,2,6.9,4,0.07,3.36,1.6,4.7,0.1,,0.05,0.05,0.7,0.003,0.46,1.6,30,0.2,3.85,62.4,0.4
475.2295283,6950.281717,0.5,343,0.99,26.4,1,20,116.4,0.4,0.13,0.03,0.25,11.4,7.1,23.4,2.16,80.97,14.26,1.6,0.1,0.03,86,0.03,0.04,5.1,10,0.13,190,5.19,0.001,0.1,21.7,0.091,10.66,10,2,5.1,6,0.84,2.57,2.3,2.9,0.1,,0.05,0.04,2.7,0.002,0.21,3,42,0.1,8.28,78.2,1.7
473.4855428,6956.794551,0.5,332,0.78,22.9,1.7,20,85.5,0.3,0.14,0.02,0.37,8,27.1,20.6,2.32,39.28,14.99,2.3,0.1,0.03,97,0.02,0.03,3.6,16.5,0.21,648,6.78,0.001,0.08,27.3,0.117,14,10,2,4.2,3,0.91,2.81,2.8,3.4,0.1,,0.05,0.02,3.5,0.002,0.19,2.1,43,0.4,5.58,127.5,2.2
481.3743918,6949.400716,0.5,517,2.25,27,2.3,20,118.3,3.8,0.34,0.12,8.16,31.1,171.9,10.6,3.37,205.41,3.01,1.9,0.1,0.14,136,0.02,0.07,14.1,61.9,0.21,5151,2.53,0.001,0.09,349.2,0.084,33.6,10,2,7.5,1,0.09,2.57,2.9,1.8,0.1,,0.05,0.02,5.8,0.002,0.21,3.7,13,0.1,39.71,661,4.5
480.6905668,6951.600845,0.5,311,1.18,24.8,1.7,20,152.2,1.7,0.24,0.05,1.03,29.7,24.5,10.2,1.65,125.27,5.84,1.6,0.1,0.04,89,0.02,0.05,14.6,12.7,0.15,592,4.61,0.001,0.04,48.8,0.068,16.02,10,2,4.3,5,0.27,2.18,2.8,1.9,0.1,,0.05,0.05,5.2,0.002,0.17,2.8,21,0.1,17.37,183.1,2.2
479.9770061,6948.116819,0.5,203,0.72,32.6,1.2,20,18.9,2,0.18,0.03,0.95,40.1,37.5,4.9,0.74,65.43,2.32,1.1,0.1,0.04,36,0.02,0.04,20,9.9,0.1,1495,1.4,0.001,0.03,63.8,0.045,14.84,10,2,3,1,0.07,2.86,1.8,0.7,0.1,,0.05,0.04,5.5,0.001,0.05,1.5,9,0.1,14.71,175.1,1.9
480.8608977,6948.366497,0.5,1214,11,10.9,1,20,12.5,7.6,0.08,0.03,0.17,9.4,5.2,5.5,0.85,104.85,0.95,0.6,0.1,0.09,35,0.02,0.02,3.4,5.2,0.05,128,2.53,0.001,0.05,10.3,0.033,11.01,10,3,2.1,1,3.93,1.45,2.2,1.2,0.1,,0.05,0.02,2.3,0.002,0.08,3.1,6,0.1,5.96,39.3,4.7
477.6449944,6947.568458,0.5,232,0.52,17,1.3,20,25.9,0.6,0.28,0.02,0.09,33.3,9.6,7.9,1.41,42.57,4.36,1.6,0.1,0.06,87,0.02,0.05,16.6,10.5,0.13,123,4.27,0.001,0.02,28.2,0.068,18.36,10,2,3.3,2,0.19,1.93,2.3,1.4,0.1,,0.05,0.08,7.7,0.001,0.18,1.3,18,0.1,5.57,43.2,4.6
478.2457863,6944.995231,0.5,715,6.86,35,3.5,20,92.6,3.7,0.15,0.04,3.25,18.2,127.6,6.1,1.84,270.63,2.14,1.1,0.1,0.14,86,0.02,0.05,7.2,16,0.06,3302,2.93,0.001,0.12,117.1,0.097,10.77,10,2,4.3,1,0.83,3.09,2.9,1.7,0.1,,0.05,0.02,3.2,0.004,0.24,3.6,11,0.2,58.23,324.3,6.7
474.6320472,6947.148669,0.5,1158,0.5,50.3,3.5,20,431.6,0.5,0.25,0.57,9.68,24.7,14.5,7.9,1.88,95.48,2.87,1.1,0.1,0.02,211,0.03,0.07,14.2,5.4,0.18,786,9.33,0.002,0.03,135.9,0.2,15.88,10,2,7.8,2,0.05,4.2,2.5,2.7,0.1,,0.05,0.1,1.4,0.003,0.29,5.4,26,0.1,17.66,690.6,1.1
479.9664437,6944.705608,0.5,397,0.8,25.6,2,20,12.1,0.4,0.09,0.01,0.08,5,9.2,54,0.77,117.09,33.96,1.9,0.2,0.08,29,0.11,0.02,2.4,2.1,0.03,268,1.46,0.001,0.07,15.2,0.133,9.33,10,2,1.9,1,2.79,3.62,4.3,1,0.1,,0.05,0.05,3.5,0.002,0.04,1.5,112,0.1,7.09,26.4,5.5
483.0768582,6946.546944,0.5,723,0.97,35.7,1.5,20,45.3,0.6,0.32,0.01,0.17,30.2,9.7,9.4,1.53,61.84,2.88,1.6,0.1,0.04,56,0.02,0.05,15.7,10.7,0.14,113,2.34,0.001,0.12,22.6,0.063,25.25,10,2,4.4,1,0.09,3.22,2,1.2,0.1,,0.05,0.05,7.4,0.004,0.11,1.6,14,0.1,4.6,67.8,2.8
483.8065309,6947.976845,0.5,561,1.97,36.2,1.7,20,28.6,3.5,0.35,0.02,2.2,24.3,106.6,7.8,2.24,176.99,7.37,1.2,0.1,0.09,51,0.02,0.05,9.2,37,0.15,3669,2.08,0.001,0.05,111.5,0.061,35.33,10,2,4.2,1,0.48,4.61,3.2,1.3,0.1,,0.05,0.05,7.2,0.001,0.1,2.1,10,0.2,17.16,261.3,6.3
485.4561392,6947.221258,0.5,378,0.97,25.7,1.9,20,340.4,1,0.29,0.17,4.74,32.4,29.6,10.2,2.08,82.14,2.92,1.6,0.1,0.03,84,0.02,0.06,17.6,15.5,0.21,1078,3.45,0.001,0.14,128,0.086,17.89,10,2,6.1,2,0.08,2.31,2,1.6,0.1,,0.05,0.03,4.6,0.005,0.16,2.5,21,2.9,13.26,557.8,1.5
485.6114811,6940.318133,0.5,6732,9.45,17.3,4.6,20,183.2,0.5,0.15,0.03,1.56,8.4,18.9,11.9,1.25,325.09,1.81,1.3,0.1,0.12,174,0.02,0.04,3.7,7.1,0.11,364,4.07,0.001,0.16,54.2,0.124,11.43,10,2,4.1,1,1.38,2.51,2.5,5.5,0.1,,0.05,0.05,1.9,0.004,0.17,2.4,16,0.1,19.79,228.8,6.3
482.771339,6940.798609,0.5,685,0.6,16.1,1.6,20,696.1,0.4,0.19,0.71,5.39,31,11.6,11,0.98,53.47,2.45,1.5,0.1,0.02,154,0.03,0.08,16.8,9.2,0.3,538,5.56,0.002,0.1,89.1,0.154,26.32,10,3,7.7,8,0.07,2.75,2.4,1.9,0.1,,0.05,0.05,2.8,0.004,0.29,2,38,0.2,11.05,678.5,2.1
481.3166724,6937.582655,0.5,957,0.65,19,1,20,775.3,0.6,0.17,1.01,9.66,30.3,19.5,10.8,1.1,79.63,2.51,1.4,0.1,0.04,188,0.02,0.1,16.3,7.9,0.38,454,9.53,0.002,0.11,139.9,0.148,18.12,10,3,9.2,15,0.11,4.22,2.7,3.1,0.1,,0.05,0.06,1.5,0.004,0.41,3.6,40,0.1,16.25,1106.8,1.6
485.5949674,6942.460659,0.5,717,1.12,30.1,2.5,20,707.1,0.9,0.24,0.1,55.13,43.5,181.1,10.4,1.6,319.21,3,1.6,0.1,0.02,123,0.03,0.06,24.2,20.3,0.22,10001,4.81,0.001,0.04,822.3,0.076,17.46,10,2,4.7,2,0.08,3.31,2.2,3.5,0.1,,0.05,0.11,4.6,0.002,0.27,2.6,18,0.1,39.66,2139.9,1.7
480.418075,6939.405424,0.5,1179,0.39,35.6,1.8,20,711.8,0.8,0.22,0.43,10.05,23.7,23.5,8.3,1.22,114.93,3.29,0.8,0.1,0.02,236,0.06,0.07,13.9,2.9,0.07,538,22.77,0.002,0.09,163.6,0.249,23,10,3,6.5,6,0.1,8.29,2.3,4.8,0.1,,0.05,0.11,1.3,0.004,0.74,7.9,43,0.2,20.26,709.9,0.8
474.541521,6940.135442,0.5,370,0.57,14.8,1.2,20,497.2,0.4,0.14,0.98,6.78,26.5,8.7,10.7,0.74,23.5,2.47,1.6,0.1,0.06,122,0.02,0.05,13.2,10,0.39,495,4.11,0.002,0.12,41.7,0.219,32.55,10,3,7.7,5,0.05,1.8,2,1.4,0.1,,0.05,0.06,1.7,0.004,0.19,1.6,27,3.2,10.58,457.6,2.2
525.9117805,6915.376178,0.5,295,2.06,19.8,1.4,20,141.3,2.2,1.41,0.98,0.98,29.8,25.4,22.4,6.55,57.93,3.91,5.3,0.1,0.04,19,0.02,0.36,15.7,46.5,0.81,551,3.53,0.013,1.71,89.4,0.101,26.51,10,2,44.8,1,0.17,0.96,2.7,1.5,1,,0.05,0.03,7.1,0.06,0.44,10.8,46,2.7,11.65,136.6,2.6
523.7411498,6915.959017,0.5,465,4.67,10.5,0.8,20,268.3,5.9,2.81,4.61,11.59,102.1,180.6,34.3,4.99,196.65,3.49,7.5,0.1,0.02,13,0.03,0.26,50.2,56.3,1.27,2038,8.98,0.019,0.96,582.6,0.098,13.97,10,2,34.4,2,0.11,0.48,2.3,2.8,0.5,,0.05,0.06,4.4,0.063,0.49,16.6,119,3.5,127.92,1987.5,1.8
