X,Y,Z,THICKNESS
-4935.0,34665.0,0.5,2.75
-5269.0,37399.0,0.5,2.96
-4741.0,34302.0,0.5,3.34
-6269.0,36319.0,0.5,3.53
-5061.0,36928.0,0.5,3.01
-5979.0,37675.0,0.5,2.7
-6256.0,36441.0,0.5,3.26
-4067.0,33630.0,0.5,2.91
-3623.0,35374.0,0.5,2.51
-5063.0,37295.0,0.5,2.97
-5619.0,37522.0,0.5,3.06
-3242.0,34628.0,0.5,2.5
-3384.0,35403.0,0.5,2.44
-5780.0,37427.0,0.5,3.32
-3498.0,33692.0,0.5,2.75
-4922.0,34944.0,0.5,2.99
-4529.0,34589.0,0.5,2.88
-5347.0,36685.0,0.5,2.97
-5209.0,36628.0,0.5,3.07
-5265.0,36785.0,0.5,3.02
-5028.0,37062.0,0.5,3.33
-5078.0,37573.0,0.5,3.05
-5943.0,33671.0,0.5,2.82
-3991.0,34844.0,0.5,3.2
-5196.0,36105.0,0.5,3.21
-5576.0,33404.0,0.5,2.97
-5540.0,36080.0,0.5,3.39
-5208.0,36970.0,0.5,3.02
-5886.0,37597.0,0.5,3.07
-5320.0,36531.0,0.5,2.83
-2946.0,33129.0,0.5,2.37
-3520.0,34216.0,0.5,2.16
-3231.0,34323.0,0.5,2.65
-4668.0,35212.0,0.5,3.01
-6046.0,37654.0,0.5,3.07
-4532.0,37607.0,0.5,3.18
-3069.0,34488.0,0.5,2.59
-4665.0,33715.0,0.5,2.84
-4740.0,34312.0,0.5,3.0
-3772.0,35080.0,0.5,3.05
-6143.0,37356.0,0.5,2.69
-5170.0,37355.0,0.5,3.3
-4020.0,37199.0,0.5,3.02
-3564.0,34917.0,0.5,2.71
-4442.0,33586.0,0.5,2.78
-5679.0,36141.0,0.5,3.08
-5573.0,37222.0,0.5,3.08
-3358.0,34957.0,0.5,2.4
-3370.0,34749.0,0.5,2.36
-3468.0,34812.0,0.5,2.4
-4791.0,36899.0,0.5,3.18
-3112.0,36837.0,0.5,2.61
-5411.0,36629.0,0.5,2.99
-6137.0,36625.0,0.5,3.29
-4217.0,37061.0,0.5,2.83
-5378.0,36618.0,0.5,3.0
-4821.0,34331.0,0.5,2.83
-3759.0,34766.0,0.5,2.72
-5585.0,37625.0,0.5,3.09
-3345.0,37499.0,0.5,1.45
-5138.0,36556.0,0.5,2.92
-5176.0,37107.0,0.5,3.41
-5766.0,37558.0,0.5,3.48
-4231.0,37325.0,0.5,2.99
-5616.0,36418.0,0.5,2.86
-6217.0,37237.0,0.5,2.83
-3582.0,34652.0,0.5,2.44
-4535.0,33339.0,0.5,2.93
-4685.0,37443.0,0.5,3.1
-5319.0,36029.0,0.5,3.01
-3191.0,34948.0,0.5,2.55
-3232.0,33767.0,0.5,1.86
-5183.0,34291.0,0.5,2.95
-5031.0,33253.0,0.5,3.08
-6024.0,37353.0,0.5,3.11
-4392.0,36337.0,0.5,2.78
-5580.0,37768.0,0.5,3.23
-4912.0,35178.0,0.5,3.13
-5037.0,37336.0,0.5,2.9
-3576.0,33542.0,0.5,2.56
-3551.0,34081.0,0.5,2.37
-4232.0,34627.0,0.5,2.88
-5215.0,37633.0,0.5,3.93
-4407.0,35295.0,0.5,3.13
-5495.0,36212.0,0.5,2.95
-3570.0,37122.0,0.5,2.2
-3381.0,35183.0,0.5,2.09
-5236.0,36415.0,0.5,3.25
-4874.0,36676.0,0.5,3.31
-5640.0,36609.0,0.5,3.1
-3700.0,34257.0,0.5,2.42
-3073.0,33993.0,0.5,2.66
