DHID,SampleID,X,Y,Z,True,Estimate
DDH-0013,193,973.39656,12349.091,1128.0697,1.92306,1.5727204
DDH-0013,194,973.36914,12351.105,1123.4935,1.14342,1.4877002
DDH-0013,195,973.34172,12353.119,1118.9173,0.77577,1.4115318
DDH-0013,196,973.31429,12355.134,1114.3411,4.96107,1.3296058
DDH-0013,197,973.28758,12357.096,1109.8839,1.09737,1.3549149
DDH-0014,198,1069.3251,12236.25,1024.4214,7.93255,3.452303
DDH-0014,199,1069.8582,12240.777,1022.3649,6.40688,3.6199261
DDH-0014,200,1070.389,12245.3,1020.301,3.52083,3.8697518
DDH-0014,201,1070.8998,12249.666,1018.3003,8.27665,3.8340283
DDH-0015,202,1067.8854,12249.035,1053.1903,6.01502,5.736748
DDH-0015,203,1068.3671,12253.969,1052.5388,10.04045,5.7684486
DDH-0015,204,1068.8745,12258.902,1051.8983,7.84599,5.7391687
DDH-0015,205,1069.3837,12263.831,1051.2278,5.21958,5.6196559
DDH-0015,206,1069.895,12268.754,1050.5219,5.98247,5.3807243
DDH-0015,207,1070.4069,12273.672,1049.7779,7.82794,5.0054452
DDH-0015,208,1070.8818,12278.592,1049.0253,9.18604,4.4959552
DDH-0015,209,1071.3086,12283.516,1048.2725,9.47403,3.8804935
DDH-0015,210,1071.6398,12287.434,1047.6514,2.91632,3.3461341
DDH-0016,211,982.40784,12260.447,1078.9502,1.70345,4.4078653
DDH-0016,212,982.45721,12262.882,1074.5837,4.09693,4.0572738
DDH-0016,213,982.50842,12265.311,1070.2139,7.044,3.7449636
DDH-0016,214,982.56145,12267.735,1065.8407,1.67275,3.316828
DDH-0016,215,982.61608,12270.153,1061.4647,2.78022,3.2152626
DDH-0016,216,982.67093,12272.57,1057.0882,3.70654,2.9895884
DDH-0016,217,982.72579,12274.987,1052.7117,0.98238,2.8156473
DDH-0016,218,982.78065,12277.405,1048.3352,1.09422,2.5337946
DDH-0016,219,982.8355,12279.822,1043.9588,0.41677,2.2411876
DDH-0016,220,982.88103,12281.828,1040.3263,0.23218,2.1037705
DDH-0017,221,940.93696,12308.662,1200.3489,3.1968,1.592333
DDH-0017,222,940.9005,12311.841,1196.4899,0.92767,1.6414331
DDH-0017,223,940.86246,12315.023,1192.6331,0.29614,1.6378767
DDH-0017,224,940.82281,12318.207,1188.7785,1.20904,1.7192677
DDH-0017,225,940.78157,12321.394,1184.9262,1.91699,1.795345
DDH-0017,226,940.73874,12324.584,1181.0761,2.60436,1.8425483
DDH-0017,227,940.6943,12327.777,1177.2282,3.73225,1.8366549
DDH-0017,228,940.64828,12330.972,1173.3825,4.19553,1.7638211
DDH-0017,229,940.60065,12334.17,1169.5391,1.66006,1.6570493
DDH-0017,230,940.55143,12337.37,1165.6979,4.1155,1.4725761
DDH-0017,231,940.50063,12340.573,1161.8589,3.72793,1.339458
DDH-0017,232,940.44917,12343.777,1158.0209,2.4307,1.1764617
DDH-0017,233,940.39772,12346.981,1154.1828,0.49461,1.063893
DDH-0017,234,940.34627,12350.186,1150.3447,2.14115,0.95476976
DDH-0017,235,940.31956,12351.849,1148.3528,0.9433,0.90690256
DDH-0018,236,1107.851,12249.464,1057.205,1.60397,4.3239592
DDH-0018,237,1107.881,12254.424,1056.5726,4.72817,4.4124304
DDH-0018,238,1107.9217,12259.383,1055.9312,6.32157,4.3871649
DDH-0018,239,1107.9881,12264.338,1055.2673,7.72778,4.2814195
DDH-0018,240,1108.0802,12269.29,1054.581,11.0199,4.0892253
DDH-0018,241,1108.1981,12274.238,1053.8723,11.30432,3.8145002
DDH-0018,242,1108.3416,12279.182,1053.1412,9.45856,3.4694965
DDH-0018,243,1108.5058,12284.121,1052.3828,0.16633,3.0739383
DDH-0019,244,1106.8343,12241.373,1032.8837,2.9318,3.7015877
DDH-0019,245,1106.8631,12245.915,1030.7918,4.68545,4.0337489
DDH-0019,246,1106.857,12250.457,1028.702,3.87995,4.3248584
DDH-0019,247,1107.0794,12255.003,1026.6339,5.3581,4.4878413
DDH-0019,248,1107.3262,12259.526,1024.5173,3.214,4.4549106
DDH-0019,249,1107.5615,12264.034,1022.3678,3.99696,4.231113
DDH-0019,250,1107.7904,12268.536,1020.2049,2.27116,3.6589564
DDH-0019,251,1108.0129,12273.032,1018.0287,0.33137,3.125537
DDH-0019,252,1108.2294,12277.522,1015.8395,0.94143,2.543466
DDH-0019,253,1108.4433,12282.007,1013.6395,0.52421,1.9365712
DDH-0020,254,1028.1026,12280.112,1075.0056,3.05324,3.8387285
DDH-0020,255,1028.4141,12282.307,1070.5239,4.14424,3.8179027
DDH-0020,256,1028.7265,12284.501,1066.0419,2.75554,3.8781312
DDH-0020,257,1029.0398,12286.694,1061.5594,5.03129,3.7413145
DDH-0020,258,1029.3537,12288.886,1057.0765,5.94837,3.491863
DDH-0020,259,1029.6677,12291.078,1052.5937,0.73292,3.0628202
DDH-0020,260,1029.9816,12293.27,1048.1109,0.0782,3.1438668
DDH-0021,261,782.60959,12320.537,1207.0667,2.7077,1.8078467
DDH-0021,262,782.59562,12325.537,1207.1059,3.59097,1.4782211
DDH-0021,263,782.58166,12330.537,1207.1452,0.54795,1.177895
DDH-0021,264,782.5677,12335.537,1207.1845,1.35382,0.90774092
DDH-0021,265,782.55374,12340.537,1207.2238,0.07818,0.66834125
DDH-0021,266,782.54024,12345.371,1207.2617,0.02185,0.45966876
DDH-0022,267,899.6157,12257.974,1112.5047,0.4925,2.5967926
DDH-0022,268,899.5772,12259.818,1107.8572,5.48224,2.6232255
DDH-0022,269,899.52462,12261.649,1103.2049,5.22464,2.6222786
DDH-0022,270,899.45678,12263.465,1098.5471,5.09548,2.4353426
DDH-0022,271,899.37369,12265.268,1093.8839,2.80192,2.4991739
DDH-0022,272,899.27534,12267.055,1089.2155,4.20652,2.6556077
DDH-0022,273,899.16174,12268.828,1084.5418,2.17818,2.7226361
DDH-0022,274,899.03289,12270.587,1079.863,3.32052,2.9154155
DDH-0022,275,898.88879,12272.331,1075.1791,5.85006,2.8518676
DDH-0022,276,898.72922,12274.06,1070.4904,5.94014,2.8109044
DDH-0022,277,898.54491,12275.781,1065.7996,6.34498,2.8789935
DDH-0022,278,898.33107,12277.497,1061.1081,4.30112,2.9341895
DDH-0022,279,898.08771,12279.208,1056.4163,2.86274,2.7801393
DDH-0022,280,897.81483,12280.913,1051.7241,0.32635,2.4796744
DDH-0022,281,897.51244,12282.614,1047.0319,0.8088,2.378701
