DHID,SampleID,X,Y,Z,True,Estimate
DDH-0025,309,1022.8667,12247.907,1030.4912,1,0.52546985
DDH-0025,310,1022.913,12249.172,1025.654,1,0.39475283
DDH-0025,311,1022.96,12250.44,1020.8179,0,0.4408072
DDH-0025,312,1023.0075,12251.713,1015.9827,0,0.25786419
DDH-0025,313,1023.0551,12252.986,1011.1477,0,0.15039641
DDH-0025,314,1023.1027,12254.259,1006.3127,0,0.089728577
DDH-0025,315,1023.1502,12255.532,1001.4777,0,0.052884884
DDH-0025,316,1023.1978,12256.805,996.64269,0,0.03129935
DDH-0025,317,1023.2454,12258.078,991.80769,0,0.018760261
DDH-0025,318,1023.2929,12259.351,986.97268,0,0.003629413
DDH-0025,319,1023.3405,12260.624,982.13767,0,0
DDH-0025,320,1023.3881,12261.897,977.30266,0,0
DDH-0025,321,1023.4356,12263.17,972.46766,0,0
DDH-0025,322,1023.4793,12264.339,968.02428,0,0
DDH-0026,323,782.43526,12272.912,1168.0939,1,1
DDH-0026,324,782.41729,12276.13,1164.267,1,1
DDH-0026,325,782.39932,12279.348,1160.4402,1,0.9859407
DDH-0026,326,782.38135,12282.566,1156.6133,1,0.93939447
DDH-0026,327,782.36337,12285.784,1152.7865,1,0.85968161
DDH-0026,328,782.3454,12289.002,1148.9596,1,0.72940543
DDH-0026,329,782.32743,12292.219,1145.1328,1,0.51312094
DDH-0026,330,782.30946,12295.437,1141.3059,0,0.49956425
DDH-0026,331,782.29148,12298.655,1137.479,0,0.27564462
DDH-0026,332,782.27351,12301.873,1133.6522,0,0.1565833
DDH-0026,333,782.25554,12305.091,1129.8253,0,0.08091843
DDH-0026,334,782.23757,12308.309,1125.9985,0,0.042760032
DDH-0026,335,782.2196,12311.527,1122.1716,0,0.031420474
DDH-0026,336,782.20162,12314.745,1118.3448,0,0.026235898
DDH-0026,337,782.18365,12317.963,1114.5179,0,0.020104783
DDH-0026,338,782.16568,12321.18,1110.6911,0,0.020952217
DDH-0026,339,782.14771,12324.398,1106.8642,0,0.021525997
DDH-0026,340,782.12973,12327.616,1103.0374,0,0.017368548
DDH-0026,341,782.11176,12330.834,1099.2105,0,0.012695663
DDH-0026,342,782.09379,12334.052,1095.3836,0,0.007070283
DDH-0026,343,782.07582,12337.27,1091.5568,0,0.003730974
DDH-0026,344,782.05784,12340.488,1087.7299,0,0
DDH-0026,345,782.03987,12343.706,1083.9031,0,0
DDH-0026,346,782.0219,12346.924,1080.0762,0,0
DDH-0026,347,782.00393,12350.142,1076.2494,0,0
DDH-0026,348,781.99368,12351.976,1074.0681,0,0
DDH-0027,349,702.96607,12237.546,1082.0005,1,0.23363041
DDH-0027,350,703.00224,12240.159,1077.7377,0,0.71075033
DDH-0027,351,703.25367,12253.298,1056.4707,0,0.4496218
DDH-0027,352,703.31806,12255.941,1052.2267,0,0.46873146
DDH-0027,353,703.38716,12258.589,1047.9859,1,0.27279869
DDH-0027,354,703.46097,12261.242,1043.7483,1,0.24505163
DDH-0027,355,703.53948,12263.9,1039.5139,0,0.34673817
DDH-0027,356,703.62269,12266.562,1035.2827,0,0.19536423
DDH-0027,357,703.7106,12269.23,1031.0547,0,0.10694651
DDH-0027,358,703.80322,12271.902,1026.83,0,0.055477719
DDH-0027,359,703.90054,12274.58,1022.6084,0,0.027337518
DDH-0027,360,704.00257,12277.262,1018.3901,0,0.009629077
DDH-0027,361,704.10929,12279.95,1014.1751,0,0
DDH-0027,362,704.22013,12282.641,1009.9629,0,0
DDH-0027,363,704.33156,12285.334,1005.7511,0,0
DDH-0027,364,704.40131,12287.019,1003.1145,0,0
DDH-0028,365,621.76233,12251.602,1207.449,0,0.83674729
DDH-0028,366,621.00445,12276.477,1209.825,1,0.58341819
DDH-0028,367,620.84457,12281.458,1210.2344,1,0.56650092
DDH-0028,368,620.68192,12286.44,1210.6218,1,0.40380288
DDH-0028,369,620.51651,12291.424,1210.9873,0,0.42101586
DDH-0028,370,620.34835,12296.409,1211.3308,0,0.22752654
DDH-0028,371,620.17743,12301.396,1211.6523,0,0.11822091
DDH-0028,372,620.00377,12306.384,1211.9518,0,0.0599201
DDH-0028,373,619.82736,12311.373,1212.2294,0,0.031800536
DDH-0028,374,619.6482,12316.363,1212.4849,0,0.01765405
DDH-0028,375,619.46631,12321.355,1212.7185,0,0.01553039
DDH-0028,376,619.28168,12326.347,1212.93,0,0.014713128
DDH-0028,377,618.90498,12336.333,1213.2853,0,0.007938623
DDH-0028,378,618.71812,12341.328,1213.4164,0,0.008972335
DDH-0029,379,862.68593,12312.749,1170.5288,0,0.15101873
DDH-0029,380,863.10709,12316.865,1167.7211,0,0.085610982
DDH-0029,381,863.50978,12320.998,1164.9356,0,0.0610105
DDH-0029,382,863.90148,12325.14,1162.1635,0,0.028442567
DDH-0029,383,864.29309,12329.283,1159.3914,0,0.007168624
DDH-0029,384,864.57309,12332.245,1157.4094,0,0
DDH-0030,385,856.3682,12291.433,1150.4182,0,0.54129812
DDH-0030,386,856.34753,12294.388,1146.3849,1,0.12797243
DDH-0030,387,856.3259,12297.348,1142.3554,0,0.29564454
DDH-0030,388,856.30375,12300.306,1138.3242,0,0.16045342
DDH-0030,389,856.28115,12303.261,1134.2906,0,0.081223492
DDH-0030,390,856.25812,12306.212,1130.2546,0,0.039195916
DDH-0030,391,856.23464,12309.16,1126.216,0,0.015175896
DDH-0030,392,856.21072,12312.104,1122.1749,0,0.003135883
DDH-0030,393,856.18636,12315.045,1118.1314,0,0.01156453
DDH-0030,394,856.16155,12317.983,1114.0853,0,0.013119899
DDH-0030,395,856.13631,12320.917,1110.0368,0,0.008081074
DDH-0030,396,856.11062,12323.847,1105.9859,0,0.016786753
DDH-0030,397,856.08449,12326.775,1101.9324,0,0.023305382
DDH-0030,398,856.05791,12329.698,1097.8765,0,0.033145911
DDH-0030,399,856.03095,12332.619,1093.8184,0,0.043872492
DDH-0030,400,856.00394,12335.54,1089.7601,0,0.062077155
DDH-0030,401,855.98854,12337.204,1087.4468,0,0.085231874
DDH-0031,402,820.209,12316.129,1199.5027,0,0.16824099
DDH-0031,403,820.13607,12321.045,1198.5906,0,0.086100584
DDH-0031,404,820.06314,12325.96,1197.6786,0,0.043441117
DDH-0031,405,819.99021,12330.876,1196.7666,0,0.014841921
DDH-0031,406,819.91728,12335.791,1195.8545,0,0
DDH-0031,407,819.84435,12340.707,1194.9425,0,0
DDH-0032,408,782.21674,12259.895,1160.8221,1,1
DDH-0032,409,782.20008,12261.631,1156.133,1,0.98652742
DDH-0032,410,782.18342,12263.366,1151.4439,1,0.97014941
DDH-0032,411,782.16676,12265.102,1146.7547,1,0.92581631
DDH-0032,412,782.1501,12266.837,1142.0656,1,0.84807056
DDH-0032,413,782.13344,12268.573,1137.3764,1,0.71827345
DDH-0032,414,782.11678,12270.308,1132.6873,0,0.83955334
DDH-0032,415,782.10012,12272.043,1127.9982,1,0.53055846
DDH-0032,416,782.08346,12273.779,1123.309,1,0.42801061
DDH-0032,417,782.0668,12275.514,1118.6199,0,0.52716344
DDH-0032,418,782.05014,12277.25,1113.9307,0,0.44919246
DDH-0032,419,782.03348,12278.985,1109.2416,0,0.5192707
DDH-0032,420,782.01682,12280.72,1104.5524,1,0.40026333
DDH-0032,421,782.00017,12282.456,1099.8633,1,0.48259217
DDH-0032,422,781.98351,12284.191,1095.1742,0,0.75689471
DDH-0032,423,781.96685,12285.927,1090.485,1,0.56059656
