DHID,FROM,TO,x,y,z,startx,starty,startz,endx,endy,endz,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY,GEOCODE
DDH-0003,170,175,942.8961135,12255.1133,1144.651953,942.9058387,12254.44384,1147.060631,942.8864075,12255.79147,1142.245716,,,,,,,C
DDH-0003,175,180,942.8767208,12256.47837,1139.841953,942.8864075,12255.79147,1142.245716,942.8670535,12257.17397,1137.440695,,,,,,,C
DDH-0003,180,185,942.8574057,12257.87826,1135.041973,942.8670535,12257.17397,1137.440695,942.8477777,12258.59125,1132.64582,,,,,,,C
DDH-0003,185,190,942.8381695,12259.31291,1130.252265,942.8477777,12258.59125,1132.64582,942.8285812,12260.04325,1127.861342,,,,,,,C
DDH-0003,190,195,942.819013,12260.78224,1125.473081,942.8285812,12260.04325,1127.861342,942.809465,12261.52988,1123.087513,,,,,,,C
DDH-0003,195,200,942.7999373,12262.28616,1120.70467,942.809465,12261.52988,1123.087513,942.7904301,12263.05108,1118.324584,,,,,,,C
DDH-0003,200,205,942.7809434,12263.82461,1115.947285,942.7904301,12263.05108,1118.324584,942.7714774,12264.60675,1113.572805,,,,,,,C
DDH-0003,205,210,942.7620322,12265.3975,1111.201175,942.7714774,12264.60675,1113.572805,942.752608,12266.19683,1108.832426,,,,,,,C
DDH-0003,210,215,942.7432048,12267.00474,1106.466589,942.752608,12266.19683,1108.832426,942.7338229,12267.82122,1104.103695,3.098705882,2.242705882,104.7537059,499.9947059,2.288058824,4.358588235,F
DDH-0003,215,220,942.7244622,12268.64625,1101.743775,942.7338229,12267.82122,1104.103695,942.715123,12269.47984,1099.386861,4.061879605,1.333494,96.139586,164.61534,4.16218,4.25583,OR2
DDH-0003,220,225,942.7058053,12270.32196,1097.032983,942.715123,12269.47984,1099.386861,942.6965902,12271.16993,1094.681207,2.97090464,1.544991209,58.547676,153.83022,5.870406,4.210382,OR2
DDH-0003,225,230,942.6875587,12272.02109,1092.33058,942.6965902,12271.16993,1094.681207,942.6787106,12272.87543,1089.981107,2.5772566,1.43202965,43.34226,147.2019,6.075862,4.230564378,OR2
DDH-0003,230,235,942.6700461,12273.73295,1087.632792,942.6787106,12272.87543,1089.981107,942.6615652,12274.59365,1085.28564,3.346164211,0.8973033708,22.37850652,183.7418,2.304104,4.33635,OR3
DDH-0003,235,240,942.6532679,12275.45753,1082.939654,942.6615652,12274.59365,1085.28564,942.6451541,12276.32458,1080.59484,4.722533,0.8799446903,78.35832965,1205.72732,2.11175,4.437042,OR3
DDH-0003,240,245,942.637224,12277.1948,1078.251201,942.6451541,12276.32458,1080.59484,942.6294775,12278.0682,1075.908742,3.5216992,0.935410596,49.02986402,475.6289437,2.197742,4.418052,OR3
DDH-0003,245,250,942.6219146,12278.94477,1073.567467,942.6294775,12278.0682,1075.908742,942.6145354,12279.82451,1071.22738,3.4673936,0.83,36.326704,228.03128,1.400426087,4.455725,OR3
DDH-0003,250,255,942.6073398,12280.70741,1068.888486,942.6145354,12279.82451,1071.22738,942.600328,12281.59349,1066.550789,6.2432662,,26.78761915,380.6682456,0.981358,4.459876,OR3
DDH-0003,255,260,942.5934998,12282.48272,1064.214293,942.600328,12281.59349,1066.550789,942.5868553,12283.37512,1061.879003,4.90342,,10.99358482,456.7052973,0.551034,4.41026,OR3
DDH-0003,260,265,942.5803946,12284.27068,1059.544923,942.5868553,12283.37512,1061.879003,942.5741176,12285.1694,1057.212057,1.3049734,,0,101.86172,0.2210184211,3.962166,N
DDH-0003,265,270,942.5680243,12286.07127,1054.880409,942.5741176,12285.1694,1057.212057,942.5621148,12286.9763,1052.549984,1.7428275,,0,57.78325,0.102045,4.284184,N
DDH-0003,270,275,942.556389,12287.88449,1050.220785,942.5621148,12286.9763,1052.549984,942.5508471,12288.79583,1047.892818,2.046427,,0,57.8104,0.01302228412,4.449148,N
DDH-0003,275,280,942.5454889,12289.71032,1045.566087,942.5508471,12288.79583,1047.892818,942.5403145,12290.62796,1043.240596,2.3193906,,0,44.1297,0.03060222222,4.699404396,N
DDH-0003,280,285,942.5353239,12291.54875,1040.916348,942.5403145,12290.62796,1043.240596,942.5305171,12292.47268,1038.593349,1.3301082,,0,35.81898,0.027758,3.820294,N
DDH-0003,285,290,942.5258941,12293.39976,1036.271603,942.5305171,12292.47268,1038.593349,942.521455,12294.32997,1033.951113,1.5764976,,0,23.95669903,0.031544,3.420776,N
DDH-0003,290,295,942.517185,12295.26308,1031.631784,942.521455,12294.32997,1033.951113,942.5129481,12296.19676,1029.312682,2.4322654,,0,29.22904,0.041928,4.18762,N
DDH-0003,295,300,942.5087112,12297.13043,1026.99358,942.5129481,12296.19676,1029.312682,942.5044743,12298.06411,1024.674478,2.370501,,0,19.2668,0.047932,3.46294,N
DDH-0003,300,302.08,942.5027117,12298.45251,1023.709731,942.5044743,12298.06411,1024.674478,942.5009491,12298.84092,1022.744985,1.18996875,,0,19.27,0.05093269231,3.1625625,N
DDH-0004,0,5,899.3025094,12247.09973,1225.766018,899.313,12245.518,1227.702,899.2920189,12248.68146,1223.830037,,,,,,,D
DDH-0004,5,10,899.2815283,12250.26319,1221.894055,899.2920189,12248.68146,1223.830037,899.2710377,12251.84491,1219.958074,,,,,,,D
DDH-0004,10,15,899.2605471,12253.42664,1218.022092,899.2710377,12251.84491,1219.958074,899.2500566,12255.00837,1216.08611,,,,,,,D
DDH-0004,15,20,899.239566,12256.5901,1214.150129,899.2500566,12255.00837,1216.08611,899.2290754,12258.17183,1212.214147,,,,,,,D
DDH-0004,20,25,899.2185848,12259.75356,1210.278166,899.2290754,12258.17183,1212.214147,899.2080943,12261.33529,1208.342184,,,,,,,D
DDH-0004,25,30,899.1976037,12262.91701,1206.406202,899.2080943,12261.33529,1208.342184,899.1871131,12264.49874,1204.470221,,,,,,,D
DDH-0004,30,35,899.1766225,12266.08047,1202.534239,899.1871131,12264.49874,1204.470221,899.166132,12267.6622,1200.598257,,,,,,,D
DDH-0004,35,40,899.1556414,12269.24393,1198.662276,899.166132,12267.6622,1200.598257,899.1451508,12270.82566,1196.726294,,,,,,,C
DDH-0004,40,45,899.1346602,12272.40739,1194.790313,899.1451508,12270.82566,1196.726294,899.1241697,12273.98911,1192.854331,,,,,,,C
