dh,from,to,Au,Cu,Au:shell,Cu:shell,x,startx,endx,y,starty,endy,z,startz,endz
13,50.0,60.0,0.13,102.0,0,0,20025.09189,20022.28869,20027.89497,18579.79428,18579.03605,18580.55299,228.47344,232.54372,224.40317
13,60.0,70.0,0.104,95.0001,0,0,20030.69823,20027.89497,20033.50198,18581.3119,18580.55299,18582.07076,220.33306,224.40317,216.26328
13,70.0,80.0,0.11713,106.0001,0,0,20036.30343,20033.50198,20039.09977,18582.82834,18582.07076,18583.58342,212.19168,216.26328,208.1161
13,80.0,90.0,0.11713,106.0001,0,0,20041.89211,20039.09977,20044.68154,18584.33627,18583.58342,18585.0872,204.03737,208.1161,199.95629
13,90.0,100.0,0.6890000000000001,68.0,0,0,20047.46977,20044.68154,20050.25854,18585.83747,18585.0872,18586.58839,195.87428,199.95629,191.79275
13,100.0,110.0,0.286,46.0001,0,0,20053.04757,20050.25854,20055.8366,18587.33962,18586.58839,18588.09085,187.71146,191.79275,183.63016
14,0.0,10.0,0.026,22.0001,0,0,19868.97475,19868.448,19869.50108,18647.60184,18644.49,18650.71419,273.11398,276.992,269.23633
14,10.0,20.0,0.039,34.0001,0,0,19870.02595,19869.50108,19870.5483,18653.82605,18650.71419,18656.93642,265.35808,269.23633,261.47828
14,20.0,30.0,0.02613,41.0001,0,0,19871.06883,19870.5483,19871.58822,18660.04472,18656.93642,18663.15039,257.59659,261.47828,253.71265
14,30.0,40.0,0.02613,42.0,0,0,19872.10585,19871.58822,19872.6211,18666.25495,18663.15039,18669.3599,249.82758,253.71265,245.94251
14,40.0,50.0,0.208,84.0001,0,0,19873.13438,19872.6211,19873.64611,18672.4667,18669.3599,18675.57677,242.05865,245.94251,238.1772
14,50.0,60.0,0.169,41.0001,0,0,19874.15801,19873.64611,19874.67182,18678.6895,18675.57677,18681.80429,234.29792,238.1772,230.42054
14,60.0,70.0,0.02613,15.0,0,0,19875.18586,19874.67182,19875.69847,18684.91839,18681.80429,18688.02905,226.54263,230.42054,222.66178
14,70.0,80.0,0.13013,34.0001,0,0,19876.20957,19875.69847,19876.71908,18691.13739,18688.02905,18694.24451,218.77887,222.66178,214.89477
14,80.0,90.0,,,-2147483648,-2147483648,19877.2273,19876.71908,19877.73454,18697.35229,18694.24451,18700.46259,211.01103,214.89477,207.12919
14,90.0,100.0,,,-2147483648,-2147483648,19878.24071,19877.73454,19878.74572,18703.57436,18700.46259,18706.68653,203.24838,207.12919,199.36774
14,100.0,110.0,,,-2147483648,-2147483648,19879.25001,19878.74572,19879.75403,18709.79805,18706.68653,18712.9079,195.48649,199.36774,191.60386
14,110.0,120.0,0.247,32.0001,0,0,19880.2579,19879.75403,19880.76171,18716.01617,18712.9079,18719.12293,187.71995,191.60386,183.83482
14,120.0,130.0,0.22113,36.0001,0,0,19881.26549,19880.76171,19881.76928,18722.22894,18719.12293,18725.33495,179.94909,183.83482,176.06336
15,0.0,10.0,0.06513,29.0001,0,0,20009.33026,20007.124,20011.53525,18608.64091,18610.304,18606.97765,247.54268,251.71,243.37476
15,10.0,20.0,0.039,31.0,0,0,20013.7387,20011.53525,20015.94034,18605.3148,18606.97765,18603.65293,239.20586,243.37476,235.03561
15,20.0,30.0,0.10413,67.0001,0,0,20018.14165,20015.94034,20020.34413,18601.9912,18603.65293,18600.32877,230.86513,235.03561,226.69555
15,30.0,40.0,0.052,47.0,0,0,20022.54877,20020.34413,20024.75657,18598.66565,18600.32877,18597.00183,222.52738,226.69555,218.36117
15,40.0,50.0,0.02613,51.0001,0,0,20026.96705,20024.75657,20029.17972,18595.33855,18597.00183,18593.67703,214.19617,218.36117,210.03162
15,50.0,60.0,0.11713,94.0001,0,0,20031.39387,20029.17972,20033.60876,18592.01669,18593.67703,18590.35693,205.86739,210.03162,201.70333
15,60.0,70.0,0.19513,109.0,0,0,20035.82404,20033.60876,20038.03931,18588.69746,18590.35693,18587.03799,197.53935,201.70333,193.37537
16,0.0,10.0,2.873,386.0001,1,1,20024.15513,20021.282,20027.02663,18782.89501,18782.815,18782.97701,212.0707,216.162,207.9783
16,10.0,20.0,1.235,151.0,1,1,20029.89651,20027.02663,20032.76481,18783.06037,18782.97701,18783.14446,203.88479,207.9783,199.79018
16,20.0,30.0,0.29913,44.0001,1,1,20035.63299,20032.76481,20038.50256,18783.22855,18783.14446,18783.3119,195.6955,199.79018,191.60176
