x,y,z,Au:shell,Cu:shell
20140.7773,18507.9206,248.7000,0,0
20144.1975,18498.5236,248.7000,0,0
20150.1742,18511.3408,248.7000,0,0
20109.1663,18507.0569,258.7000,0,0
20112.5865,18497.6599,258.7000,0,0
20116.0067,18488.2630,258.7000,0,0
20115.1430,18519.8740,258.7000,0,0
20118.5632,18510.4771,258.7000,0,0
20121.9834,18501.0802,258.7000,0,0
20125.4036,18491.6832,258.7000,0,0
20124.5399,18523.2942,258.7000,0,0
20127.9602,18513.8973,258.7000,0,0
20131.3804,18504.5004,258.7000,0,0
20134.8006,18495.1034,258.7000,0,0
20133.9369,18526.7144,258.7000,0,0
20137.3571,18517.3175,258.7000,0,0
20140.7773,18507.9206,258.7000,0,0
20144.1975,18498.5236,258.7000,0,0
20143.3338,18530.1346,258.7000,0,0
20146.7540,18520.7377,258.7000,0,0
20150.1742,18511.3408,258.7000,0,0
20153.5944,18501.9438,258.7000,0,0
20124.5399,18523.2942,268.7000,0,0
20127.9602,18513.8973,268.7000,0,0
20131.3804,18504.5004,268.7000,0,0
20134.8006,18495.1034,268.7000,0,0
20133.9369,18526.7144,268.7000,0,0
20137.3571,18517.3175,268.7000,0,0
20140.7773,18507.9206,268.7000,0,0
20144.1975,18498.5236,268.7000,0,0
20143.3338,18530.1346,268.7000,0,0
20146.7540,18520.7377,268.7000,0,0
20150.1742,18511.3408,268.7000,0,0
20153.5944,18501.9438,268.7000,0,0
20133.9369,18526.7144,278.7000,0,0
20137.3571,18517.3175,278.7000,0,0
20140.7773,18507.9206,278.7000,0,0
20144.1975,18498.5236,278.7000,0,0
20143.3338,18530.1346,278.7000,0,0
20146.7540,18520.7377,278.7000,0,0
20150.1742,18511.3408,278.7000,0,0
20153.5944,18501.9438,278.7000,0,0
20133.9369,18526.7144,288.7000,0,0
20137.3571,18517.3175,288.7000,0,0
20140.7773,18507.9206,288.7000,0,0
20144.1975,18498.5236,288.7000,0,0
20146.7540,18520.7377,288.7000,0,0
20150.1742,18511.3408,288.7000,0,0
20153.5944,18501.9438,288.7000,0,0
20140.7773,18507.9206,298.7000,0,0
20156.1509,18524.1579,268.7000,0,0
20159.5711,18514.7610,268.7000,0,0
20162.9913,18505.3640,268.7000,0,0
20159.5711,18514.7610,278.7000,0,0
19799.8279,18713.7202,248.7000,0,0
19803.2481,18704.3233,248.7000,0,0
19816.0652,18698.3466,248.7000,0,0
19834.8591,18705.1870,248.7000,0,0
19819.4854,18688.9497,258.7000,0,0
19828.8823,18692.3699,258.7000,0,0
19838.2793,18695.7901,258.7000,0,0
19810.0885,18685.5295,268.7000,0,0
19819.4854,18688.9497,278.7000,0,0
19838.2793,18695.7901,278.7000,0,0
19806.6683,18694.9264,288.7000,0,0
19819.4854,18688.9497,288.7000,0,0
19828.8823,18692.3699,288.7000,0,0
19812.6450,18707.7435,298.7000,0,0
19857.0731,18702.6305,248.7000,0,0
19860.4933,18693.2335,248.7000,0,0
19863.0498,18715.4476,248.7000,0,0
19866.4700,18706.0507,248.7000,0,0
19869.8902,18696.6537,248.7000,0,0
19873.3104,18687.2568,248.7000,0,0
19872.4468,18718.8678,248.7000,0,0
19875.8670,18709.4709,248.7000,0,0
19879.2872,18700.0739,248.7000,0,0
19882.7074,18690.6770,248.7000,0,0
19881.8437,18722.2880,248.7000,0,0
19885.2639,18712.8911,248.7000,0,0
19888.6841,18703.4941,248.7000,0,0
19847.6762,18699.2103,258.7000,0,0
19851.0964,18689.8133,258.7000,0,0
19853.6529,18712.0274,258.7000,0,0
19857.0731,18702.6305,258.7000,0,0
19860.4933,18693.2335,258.7000,0,0
19863.9135,18683.8366,258.7000,0,0
19859.6296,18724.8445,258.7000,0,0
19863.0498,18715.4476,258.7000,0,0
19866.4700,18706.0507,258.7000,0,0
19869.8902,18696.6537,258.7000,0,0
19873.3104,18687.2568,258.7000,0,0
19876.7306,18677.8599,258.7000,0,0
19869.0266,18728.2647,258.7000,0,0
19872.4468,18718.8678,258.7000,0,0
19875.8670,18709.4709,258.7000,0,0
19879.2872,18700.0739,258.7000,0,0
19882.7074,18690.6770,258.7000,0,0
19886.1276,18681.2801,258.7000,0,0
19881.8437,18722.2880,258.7000,0,0
19885.2639,18712.8911,258.7000,0,0
19888.6841,18703.4941,258.7000,0,0
19892.1043,18694.0972,258.7000,0,0
19847.6762,18699.2103,268.7000,0,0
19851.0964,18689.8133,268.7000,0,0
19850.2327,18721.4243,268.7000,0,0
19853.6529,18712.0274,268.7000,0,0
19857.0731,18702.6305,268.7000,0,0
19860.4933,18693.2335,268.7000,0,0
19863.9135,18683.8366,268.7000,0,0
19859.6296,18724.8445,268.7000,0,0
19863.0498,18715.4476,268.7000,0,0
19866.4700,18706.0507,268.7000,0,0
19869.8902,18696.6537,268.7000,0,0
19873.3104,18687.2568,268.7000,0,0
19876.7306,18677.8599,268.7000,0,0
19869.0266,18728.2647,268.7000,0,0
19872.4468,18718.8678,268.7000,0,0
19875.8670,18709.4709,268.7000,0,0
19879.2872,18700.0739,268.7000,0,0
19882.7074,18690.6770,268.7000,0,0
19886.1276,18681.2801,268.7000,0,0
19878.4235,18731.6849,268.7000,0,0
19881.8437,18722.2880,268.7000,0,0
19885.2639,18712.8911,268.7000,0,0
19888.6841,18703.4941,268.7000,0,0
19892.1043,18694.0972,268.7000,0,0
19847.6762,18699.2103,278.7000,0,0
19851.0964,18689.8133,278.7000,0,0
19850.2327,18721.4243,278.7000,0,0
19853.6529,18712.0274,278.7000,0,0
19857.0731,18702.6305,278.7000,0,0
19860.4933,18693.2335,278.7000,0,0
19863.9135,18683.8366,278.7000,0,0
19859.6296,18724.8445,278.7000,0,0
19863.0498,18715.4476,278.7000,0,0
19866.4700,18706.0507,278.7000,0,0
19869.8902,18696.6537,278.7000,0,0
19873.3104,18687.2568,278.7000,0,0
19876.7306,18677.8599,278.7000,0,0
19869.0266,18728.2647,278.7000,0,0
19872.4468,18718.8678,278.7000,0,0
19875.8670,18709.4709,278.7000,0,0
19879.2872,18700.0739,278.7000,0,0
19882.7074,18690.6770,278.7000,0,0
19886.1276,18681.2801,278.7000,0,0
19878.4235,18731.6849,278.7000,0,0
19881.8437,18722.2880,278.7000,0,0
19885.2639,18712.8911,278.7000,0,0
19888.6841,18703.4941,278.7000,0,0
19892.1043,18694.0972,278.7000,0,0
19853.6529,18712.0274,288.7000,0,0
19857.0731,18702.6305,288.7000,0,0
19860.4933,18693.2335,288.7000,0,0
